,settlementDate,settlementPeriod,powerSystemResourceType,quantity
308,2021-07-19,29,"""Solar""",7430
309,2021-07-19,29,"""Wind Offshore""",869.884
310,2021-07-19,29,"""Wind Onshore""",397.666
311,2021-07-19,29,"""Other""",247
312,2021-07-19,29,"""Nuclear""",4733
313,2021-07-19,29,"""Fossil Oil""",0
314,2021-07-19,29,"""Fossil Gas""",14199
315,2021-07-19,29,"""Fossil Hard coal""",981
316,2021-07-19,29,"""Hydro Run-of-river and poundage""",93
317,2021-07-19,29,"""Hydro Pumped Storage""",175
318,2021-07-19,29,"""Biomass""",2391
319,2021-07-19,30,"""Biomass""",2397
320,2021-07-19,30,"""Solar""",7160
321,2021-07-19,30,"""Wind Offshore""",927.675
322,2021-07-19,30,"""Wind Onshore""",407.152
323,2021-07-19,30,"""Other""",206
324,2021-07-19,30,"""Nuclear""",4740
325,2021-07-19,30,"""Fossil Oil""",0
326,2021-07-19,30,"""Fossil Gas""",14194
327,2021-07-19,30,"""Fossil Hard coal""",965
328,2021-07-19,30,"""Hydro Run-of-river and poundage""",93
329,2021-07-19,30,"""Hydro Pumped Storage""",178
330,2021-07-19,31,"""Solar""",6810
331,2021-07-19,31,"""Wind Offshore""",887.591
332,2021-07-19,31,"""Wind Onshore""",500.28
333,2021-07-19,31,"""Other""",239
334,2021-07-19,31,"""Nuclear""",4734
335,2021-07-19,31,"""Fossil Oil""",0
336,2021-07-19,31,"""Fossil Gas""",14587
337,2021-07-19,31,"""Fossil Hard coal""",746
338,2021-07-19,31,"""Hydro Run-of-river and poundage""",93
339,2021-07-19,31,"""Hydro Pumped Storage""",216
340,2021-07-19,31,"""Biomass""",2403
341,2021-07-19,32,"""Solar""",6210
342,2021-07-19,32,"""Wind Offshore""",823.339
343,2021-07-19,32,"""Wind Onshore""",507.329
344,2021-07-19,32,"""Other""",216
345,2021-07-19,32,"""Nuclear""",4819
346,2021-07-19,32,"""Fossil Oil""",0
347,2021-07-19,32,"""Fossil Gas""",14246
348,2021-07-19,32,"""Fossil Hard coal""",723
349,2021-07-19,32,"""Hydro Run-of-river and poundage""",111
350,2021-07-19,32,"""Hydro Pumped Storage""",537
351,2021-07-19,32,"""Biomass""",2404
352,2021-07-19,33,"""Solar""",5710
353,2021-07-19,33,"""Wind Offshore""",932.054
354,2021-07-19,33,"""Wind Onshore""",574.089
355,2021-07-19,33,"""Other""",214
356,2021-07-19,33,"""Nuclear""",4950
357,2021-07-19,33,"""Fossil Oil""",0
358,2021-07-19,33,"""Fossil Gas""",14551
359,2021-07-19,33,"""Fossil Hard coal""",667
360,2021-07-19,33,"""Hydro Run-of-river and poundage""",108
361,2021-07-19,33,"""Hydro Pumped Storage""",422
362,2021-07-19,33,"""Biomass""",2388
363,2021-07-19,34,"""Solar""",5050
364,2021-07-19,34,"""Wind Offshore""",1174.81
365,2021-07-19,34,"""Wind Onshore""",603.865
366,2021-07-19,34,"""Other""",237
367,2021-07-19,34,"""Nuclear""",4940
368,2021-07-19,34,"""Fossil Oil""",0
369,2021-07-19,34,"""Fossil Gas""",14675
370,2021-07-19,34,"""Fossil Hard coal""",664
371,2021-07-19,34,"""Hydro Run-of-river and poundage""",107
372,2021-07-19,34,"""Hydro Pumped Storage""",845
373,2021-07-19,34,"""Biomass""",2357
374,2021-07-19,35,"""Solar""",4400
375,2021-07-19,35,"""Wind Offshore""",1339.495
376,2021-07-19,35,"""Wind Onshore""",682.87
377,2021-07-19,35,"""Other""",263
378,2021-07-19,35,"""Nuclear""",4932
379,2021-07-19,35,"""Fossil Oil""",0
380,2021-07-19,35,"""Fossil Gas""",14859
