ignore,Fuel,Date,Zone,Week,Year,MW
FOU2T52W,NUCLEAR,20210721091000,N,47,2021,6033
FOU2T52W,OCGT,20210721091000,N,47,2021,1047
FOU2T52W,OTHER,20210721091000,N,47,2021,100
FOU2T52W,PS,20210721091000,N,47,2021,2420
FOU2T52W,WIND,20210721091000,N,47,2021,6187
FOU2T52W,BIOMASS,20210721091000,N,48,2021,3276
FOU2T52W,CCGT,20210721091000,N,48,2021,29149
FOU2T52W,COAL,20210721091000,N,48,2021,4292
FOU2T52W,INTELEC,20210721091000,N,48,2021,0
FOU2T52W,INTEW,20210721091000,N,48,2021,500
FOU2T52W,INTFR,20210721091000,N,48,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,48,2021,1100
FOU2T52W,INTIRL,20210721091000,N,48,2021,500
FOU2T52W,INTNED,20210721091000,N,48,2021,1000
FOU2T52W,INTNEM,20210721091000,N,48,2021,1000
FOU2T52W,INTNSL,20210721091000,N,48,2021,0
FOU2T52W,NPSHYD,20210721091000,N,48,2021,1123
FOU2T52W,NUCLEAR,20210721091000,N,48,2021,5871
FOU2T52W,OCGT,20210721091000,N,48,2021,1047
FOU2T52W,OTHER,20210721091000,N,48,2021,100
FOU2T52W,PS,20210721091000,N,48,2021,2510
FOU2T52W,WIND,20210721091000,N,48,2021,6574
FOU2T52W,BIOMASS,20210721091000,N,49,2021,3276
FOU2T52W,CCGT,20210721091000,N,49,2021,29149
FOU2T52W,COAL,20210721091000,N,49,2021,4292
FOU2T52W,INTELEC,20210721091000,N,49,2021,0
FOU2T52W,INTEW,20210721091000,N,49,2021,500
FOU2T52W,INTFR,20210721091000,N,49,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,49,2021,1100
FOU2T52W,INTIRL,20210721091000,N,49,2021,500
FOU2T52W,INTNED,20210721091000,N,49,2021,1000
FOU2T52W,INTNEM,20210721091000,N,49,2021,1000
FOU2T52W,INTNSL,20210721091000,N,49,2021,0
FOU2T52W,NPSHYD,20210721091000,N,49,2021,1123
FOU2T52W,NUCLEAR,20210721091000,N,49,2021,5397
FOU2T52W,OCGT,20210721091000,N,49,2021,1047
